App Id,Name,Developers,Publishers,Metascores,Genres,Tags,Price,clean_genres,clean_tags,min owners,max owners,Hit
10,Counter-Strike,Valve,Valve,88%,['Action'],"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Classic', 'Team-Based', 'First-Person', 'Competitive', 'Tactical', ""1990's"", 'e-sports', 'PvP', 'Old School', 'Military', 'Strategy', 'Survival', 'Score Attack', '1980s', 'Assassin', 'Violent']",$9.99 ,['Action'],"['Action','FPS','Multiplayer','Shooter','Classic','Team-Based','First-Person','Competitive','Tactical',""1990's"",'e-sports','PvP','Old_School','Military','Strategy','Survival','Score_Attack','1980s','Assassin','Violent']",10000000,20000000,1.0
30,Day of Defeat,Valve,Valve,79%,['Action'],"['FPS', 'World War II', 'Multiplayer', 'Shooter', 'Action', 'War', 'Team-Based', 'Classic', 'First-Person', 'Class-Based', 'Military', 'Historical', 'Tactical', 'Co-op', 'Singleplayer', 'Difficult', 'World War I', 'Strategy', 'Retro', 'Old School']",$4.99 ,['Action'],"['FPS','World_War_II','Multiplayer','Shooter','Action','War','Team-Based','Classic','First-Person','Class-Based','Military','Historical','Tactical','Co-op','Singleplayer','Difficult','World_War_I','Strategy','Retro','Old_School']",5000000,10000000,1.0
70,Half-Life,Valve,Valve,96%,['Action'],"['FPS', 'Classic', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'First-Person', ""1990's"", 'Aliens', 'Multiplayer', 'Story Rich', 'Adventure', 'Silent Protagonist', 'Atmospheric', 'Great Soundtrack', 'Moddable', 'Retro', 'Linear', 'Difficult', 'Gore']",$9.99 ,['Action'],"['FPS','Classic','Action','Sci-fi','Singleplayer','Shooter','First-Person',""1990's"",'Aliens','Multiplayer','Story_Rich','Adventure','Silent_Protagonist','Atmospheric','Great_Soundtrack','Moddable','Retro','Linear','Difficult','Gore']",5000000,10000000,1.0
80,Counter-Strike: Condition Zero,Valve,Valve,65%,['Action'],"['Action', 'FPS', 'Shooter', 'Multiplayer', 'First-Person', 'Classic', 'Singleplayer', 'Tactical', 'Team-Based', 'Competitive', 'Strategy', 'Online Co-Op', 'Military', 'Adventure', 'Survival', 'Atmospheric', 'Open World', 'Simulation', 'Dark', 'Old School']",$9.99 ,['Action'],"['Action','FPS','Shooter','Multiplayer','First-Person','Classic','Singleplayer','Tactical','Team-Based','Competitive','Strategy','Online_Co-Op','Military','Adventure','Survival','Atmospheric','Open_World','Simulation','Dark','Old_School']",5000000,10000000,1.0
100,Counter-Strike: Condition Zero,Valve,Valve,65%,['Action'],"['Action', 'FPS', 'Shooter', 'Multiplayer', 'First-Person', 'Classic', 'Singleplayer', 'Tactical', 'Team-Based', 'Competitive', 'Strategy', 'Online Co-Op', 'Military', 'Masterpiece', 'Adventure', 'Survival', 'Atmospheric', 'Open World', 'Dark', 'Simulation']",$9.99 ,['Action'],"['Action','FPS','Shooter','Multiplayer','First-Person','Classic','Singleplayer','Tactical','Team-Based','Competitive','Strategy','Online_Co-Op','Military','Masterpiece','Adventure','Survival','Atmospheric','Open_World','Dark','Simulation']",10000000,20000000,1.0
130,Half-Life: Blue Shift,Gearbox Software,Valve,71%,['Action'],"['FPS', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'Aliens', 'First-Person', 'Classic', 'Zombies', 'Adventure', ""1990's"", 'Short', 'Atmospheric', 'Silent Protagonist', 'Story Rich', 'Puzzle', 'Moddable', 'Great Soundtrack', 'Retro', 'Gore']",$4.99 ,['Action'],"['FPS','Action','Sci-fi','Singleplayer','Shooter','Aliens','First-Person','Classic','Zombies','Adventure',""1990's"",'Short','Atmospheric','Silent_Protagonist','Story_Rich','Puzzle','Moddable','Great_Soundtrack','Retro','Gore']",5000000,10000000,1.0
219,Half-Life 2: Demo,Valve,Valve,96%,['Action'],"['FPS', 'Action', 'Sci-fi', 'Classic', 'Singleplayer', 'Masterpiece', 'Story Rich', 'Shooter', 'First-Person', 'Adventure', 'Dystopian ', 'Atmospheric', 'Zombies', 'Silent Protagonist', 'Physics', 'Aliens', 'Great Soundtrack', 'Puzzle', 'Multiplayer', 'Horror']",$0.00 ,['Action'],"['FPS','Action','Sci-fi','Classic','Singleplayer','Masterpiece','Story_Rich','Shooter','First-Person','Adventure','Dystopian_','Atmospheric','Zombies','Silent_Protagonist','Physics','Aliens','Great_Soundtrack','Puzzle','Multiplayer','Horror']",0,20000,0.0
220,Half-Life 2,Valve,Valve,96%,['Action'],"['FPS', 'Action', 'Sci-fi', 'Classic', 'Singleplayer', 'Story Rich', 'Shooter', 'First-Person', 'Adventure', 'Dystopian ', 'Atmospheric', 'Zombies', 'Silent Protagonist', 'Physics', 'Aliens', 'Great Soundtrack', 'Puzzle', 'Horror', 'Multiplayer', 'Moddable']",$9.99 ,['Action'],"['FPS','Action','Sci-fi','Classic','Singleplayer','Story_Rich','Shooter','First-Person','Adventure','Dystopian_','Atmospheric','Zombies','Silent_Protagonist','Physics','Aliens','Great_Soundtrack','Puzzle','Horror','Multiplayer','Moddable']",10000000,20000000,1.0
240,Counter-Strike: Source,Valve,Valve,88%,['Action'],"['Shooter', 'Action', 'FPS', 'Multiplayer', 'Team-Based', 'First-Person', 'Tactical', 'Competitive', 'PvP', 'e-sports', 'Military', 'War', 'Strategy', 'Moddable', 'Difficult', 'Singleplayer', 'Atmospheric', 'Survival', 'Simulation', 'Sandbox']",$9.99 ,['Action'],"['Shooter','Action','FPS','Multiplayer','Team-Based','First-Person','Tactical','Competitive','PvP','e-sports','Military','War','Strategy','Moddable','Difficult','Singleplayer','Atmospheric','Survival','Simulation','Sandbox']",10000000,20000000,1.0
300,Day of Defeat: Source,Valve,Valve,80%,['Action'],"['FPS', 'World War II', 'Multiplayer', 'Action', 'Shooter', 'Team-Based', 'Military', 'War', 'First-Person', 'Historical', 'Class-Based', 'Classic', 'Tactical', 'Realistic', 'Online Co-Op', 'Strategy', 'Gore', 'Massively Multiplayer', 'Simulation', 'Comedy']",$9.99 ,['Action'],"['FPS','World_War_II','Multiplayer','Action','Shooter','Team-Based','Military','War','First-Person','Historical','Class-Based','Classic','Tactical','Realistic','Online_Co-Op','Strategy','Gore','Massively_Multiplayer','Simulation','Comedy']",5000000,10000000,1.0
