record_id,App Id,Name,Developers,Publishers,Metascores,Owners,Genres
153,220,Half-Life 2,Valve,Valve,0.96,10000000000,['Action']
333,271590,Grand Theft Auto V,Rockstar North,Rockstar Games,0.96,20000000,"['Action', 'Adventure']"
869,70,Half-Life,Valve,Valve,0.96,5000000,['Action']
904,7670,BioShock,2K Boston,2K,0.96,2000000,"['Action', 'RPG']"
812,620,Portal 2,Valve,Valve,0.95,10000000000,"['Action', 'Adventure']"
50,12110,Grand Theft Auto: Vice City,Rockstar Games,Rockstar Games,0.94,2000000,['Action']
170,22330,The Elder Scrolls IV: Oblivion Game of the Year Edition,Bethesda Game Studios,Bethesda Softworks,0.94,1000000,['RPG']
279,24980,Mass Effect 2,BioWare,Electronic Arts,0.94,1000000,['RPG']
518,373420,Divinity: Original Sin - Enhanced Edition,Larian Studios,Larian Studios,0.94,1000000,"['Adventure', 'Indie', 'RPG', 'Strategy']"
881,72850,The Elder Scrolls V: Skyrim,Bethesda Game Studios,Bethesda Softworks,0.94,5000000,['RPG']
954,8870,BioShock Infinite,Irrational Games,2K,0.94,2000000,['Action']
46,1174180,Red Dead Redemption 2,Rockstar Games,Rockstar Games,0.93,2000000,"['Action', 'Adventure']"
49,12100,Grand Theft Auto III,Rockstar Games,Rockstar Games,0.93,2000000,['Action']
51,12120,Grand Theft Auto: San Andreas,Rockstar Games,Rockstar Games,0.93,2000000,['Action']
192,228200,Company of Heroes,Relic Entertainment,SEGA,0.93,2000000,"['Action', 'Strategy']"
376,292030,The Witcher 3: Wild Hunt,CD PROJEKT RED,CD PROJEKT RED,0.93,10000000000,['RPG']
634,435150,Divinity: Original Sin 2 - Definitive Edition,Larian Studios,Larian Studios,0.93,2000000,"['Adventure', 'RPG', 'Strategy', 'in Early Access']"
747,546560,Half-Life: Alyx,Valve,Valve,0.93,1000000,"['Action', 'Adventure']"
813,620980,Beat Saber,Beat Games,Beat Games,0.93,2000000,"['Indie', 'in Early Access']"
560,391540,Undertale,tobyfox,tobyfox,0.92,2000000,"['Indie', 'RPG']"
641,440,Team Fortress 2,Valve,Valve,0.92,"100,000,000","['Action', 'Free to Play']"
682,4760,Rome: Total War - Collection,CREATIVE ASSEMBLY,SEGA,0.92,1000000,['Strategy']
913,7940,Call of Duty 4: Modern Warfare,Infinity Ward,Activision,0.92,1000000,['Action']
43,1158310,Crusader Kings III,Paradox Development Studio,Paradox Interactive,0.91,500000,"['RPG', 'Simulation', 'Strategy']"
71,17300,Crysis,Crytek,Electronic Arts,0.91,1000000,['Action']
74,17450,Dragon Age: Origins,BioWare,Electronic Arts,0.91,500000,['RPG']
81,200260,Batman: Arkham City - Game of the Year Edition,Rocksteady Studios,Warner Bros. Interactive Entertainment,0.91,2000000,"['Action', 'Adventure']"
101,205100,Dishonored,Arkane Studios,Bethesda Softworks,0.91,2000000,"['Action', 'Adventure']"
139,214560,Mark of the Ninja,Klei Entertainment,Microsoft Studios,0.91,1000000,"['Action', 'Adventure', 'Indie']"
167,22300,Fallout 3,Bethesda Game Studios,Bethesda Softworks,0.91,500000,['RPG']
172,22370,Fallout 3: Game of the Year Edition,Bethesda Game Studios,Bethesda Softworks,0.91,2000000,['RPG']
180,224760,FEZ,Polytron Corporation,Trapdoor,0.91,1000000,['Indie']
221,236430,DARK SOULS II,"FromSoftware, Inc",BANDAI NAMCO Entertainment,0.91,1000000,"['Action', 'RPG']"
228,238010,Deus Ex: Human Revolution - Director's Cut,Eidos Montreal,Square Enix,0.91,1000000,"['Action', 'RPG']"
363,287700,METAL GEAR SOLID V: THE PHANTOM PAIN,Konami Digital Entertainment,Konami Digital Entertainment,0.91,1000000,"['Action', 'Adventure']"
477,35140,Batman: Arkham Asylum Game of the Year Edition,Rocksteady Studios,Warner Bros. Interactive Entertainment,0.91,2000000,"['Action', 'Adventure']"
686,47810,Dragon Age: Origins - Ultimate Edition,BioWare,Electronic Arts,0.91,1000000,['RPG']
824,632470,Disco Elysium,ZA/UM,ZA/UM,0.91,500000,['RPG']
8,10500,Total War: EMPIRE  Definitive Edition,CREATIVE ASSEMBLY,SEGA,0.9,2000000,['Strategy']
55,12210,Grand Theft Auto IV: The Complete Edition,Rockstar North,Rockstar Games,0.9,2000000,"['Action', 'Adventure']"
182,225080,Brothers - A Tale of Two Sons,Starbreeze Studios AB,505 Games,0.9,1000000,"['Action', 'Adventure', 'Indie']"
238,239350,Spelunky,Mossmouth,Mossmouth,0.9,1000000,['Indie']
322,26800,Braid,Number None,Number None,0.9,1000000,"['Casual', 'Indie', 'Strategy']"
577,400,Portal,Valve,Valve,0.9,5000000,['Action']
608,420,Half-Life 2: Episode Two,Valve,Valve,0.9,5000000,['Action']
665,460790,Bayonetta,PlatinumGames,SEGA,0.9,500000,"['Action', 'Adventure']"
772,570,Dota 2,Valve,Valve,0.9,100000000,"['Action', 'Free to Play', 'Strategy']"
790,590380,Into the Breach,Subset Games,Subset Games,0.9,500000,"['Indie', 'RPG', 'Simulation', 'Strategy']"
866,6910,Deus Ex: Game of the Year Edition,Ion Storm,Square Enix,0.9,1000000,['Action']
955,8930,Sid Meier's Civilization V,Firaxis Games,2K,0.9,5000000,['Strategy']
75,17460,Mass Effect,BioWare,Electronic Arts,0.89,1000000,"['Action', 'RPG']"
82,200510,XCOM: Enemy Unknown,Firaxis Games,2K,0.89,2000000,['Strategy']
169,22320,The Elder Scrolls III: Morrowind Game of the Year Edition,Bethesda Game Studios,Bethesda Softworks,0.89,1000000,['RPG']
251,242680,Nuclear Throne,Vlambeer,Vlambeer,0.89,500000,"['Action', 'Indie', 'RPG', 'in Early Access']"
362,287450,Rise of Nations: Extended Edition,SkyBox Labs,Xbox Game Studios,0.89,1000000,"['Simulation', 'Strategy']"
374,291650,Pillars of Eternity,Obsidian Entertainment,Paradox Interactive,0.89,1000000,['RPG']
408,310950,Street Fighter V,Capcom,Capcom,0.89,1000000,['Action']
520,374320,DARK SOULS III,"FromSoftware, Inc.","FromSoftware, Inc.",0.89,2000000,['Action']
539,38400,Fallout: A Post Nuclear Role Playing Game,Interplay Inc.,Bethesda Softworks,0.89,2000000,['RPG']
596,413150,Stardew Valley,ConcernedApe,ConcernedApe,0.89,5000000,"['Indie', 'RPG', 'Simulation']"
708,49520,Borderlands 2,Gearbox Software,2K,0.89,10000000000,"['Action', 'RPG']"
715,500,Left 4 Dead,Valve,Valve,0.89,5000000,['Action']
717,501300,What Remains of Edith Finch,Giant Sparrow,Annapurna Interactive,0.89,500000,"['Adventure', 'Indie']"
750,550,Left 4 Dead 2,Valve,Valve,0.89,20000000,['Action']
788,588650,Dead Cells,Motion Twin,Motion Twin,0.89,1000000,"['Action', 'Indie', 'in Early Access']"
796,601150,Devil May Cry 5,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",0.89,2000000,['Action']
841,646570,Slay the Spire,Mega Crit Games,Mega Crit Games,0.89,2000000,"['Indie', 'Strategy', 'in Early Access']"
846,653530,Return of the Obra Dinn,Lucas Pope,3909,0.89,200000,"['Adventure', 'Indie']"
951,883710,Resident Evil 2,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",0.89,2000000,['Action']
0,10,Counter-Strike,Valve,Valve,0.88,10000000000,['Action']
11,1057090,Ori and the Will of the Wisps,Moon Studios GmbH,Xbox Game Studios,0.88,1000000,['Action']
83,200710,Torchlight II,Runic Games,Runic Games,0.88,2000000,"['Action', 'Adventure', 'Indie', 'RPG']"
118,20920,The Witcher 2: Assassins of Kings Enhanced Edition,CD PROJEKT RED,CD PROJEKT RED,0.88,2000000,['RPG']
122,21090,F.E.A.R.,"Monolith Productions, Inc.",Warner Bros. Interactive Entertainment,0.88,1000000,['Action']
154,220200,Kerbal Space Program,Squad,Private Division,0.88,2000000,"['Indie', 'Simulation', 'in Early Access']"
155,220240,Far Cry 3,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",Ubisoft,0.88,2000000,"['Action', 'Adventure']"
162,221640,Super Hexagon,Terry Cavanagh,Terry Cavanagh,0.88,1000000,"['Action', 'Indie']"
164,221910,The Stanley Parable,Galactic Cafe,Galactic Cafe,0.88,2000000,"['Adventure', 'Indie']"
240,240,Counter-Strike: Source,Valve,Valve,0.88,10000000000,['Action']
306,261570,Ori and the Blind Forest,Moon Studios GmbH,Xbox Game Studios,0.88,1000000,['Action']
325,268500,XCOM 2,Firaxis Games,2K,0.88,2000000,['Strategy']
327,268910,Cuphead,Studio MDHR Entertainment Inc.,Studio MDHR Entertainment Inc.,0.88,2000000,"['Action', 'Indie']"
367,289070,Sid Meierâ€™s Civilization VI,Firaxis Games,2K,0.88,5000000,['Strategy']
547,387290,Ori and the Blind Forest: Definitive Edition,Moon Studios GmbH,Xbox Game Studios,0.88,1000000,['Action']
689,48000,LIMBO,Playdead,Playdead,0.88,2000000,"['Action', 'Adventure', 'Indie']"
691,481510,Night in the Woods,Infinite Fall,Finji,0.88,200000,['Adventure']
692,48190,Assassinâ€™s Creed Brotherhood,Ubisoft Montreal,Ubisoft,0.88,1000000,"['Action', 'Adventure']"
721,504230,Celeste,Matt Makes Games Inc.,Matt Makes Games Inc.,0.88,500000,"['Action', 'Adventure', 'Indie']"
734,519860,DUSK,David Szymanski,New Blood Interactive,0.88,500000,"['Action', 'Indie', 'in Early Access']"
767,560130,Pillars of Eternity II: Deadfire,Obsidian Entertainment,Versus Evil,0.88,500000,['RPG']
781,582010,Monster Hunter: World,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",0.88,5000000,['Action']
