,App Id,Name,Developers,Publishers,Metascores,Owners,Genres,Tags,Price
0,891883,Talk in der Alm: #04.4 Das aktuell erfolgreichste deutsche Games Studio,,,n/a,"0 .. 20,000",[''],n/a,$0.00 
1,891900,Horizon Chase Turbo Demo,Aquiris Game Studio, Aquiris Game Studio,75%,"0 .. 20,000","['Action', 'Casual', 'Indie', 'Racing', 'Sports']","['Racing', 'Arcade', 'Casual', 'Indie', 'Retro', 'Sports', 'Action', 'Local Multiplayer', 'Great Soundtrack', '4 Player Local', 'Split Screen']",$0.00 
2,891910,Cybrus Demo,ThatGuyGilby,ThatGuyGilby,n/a,"0 .. 20,000","['Action', 'Indie']","['Early Access', 'Action', 'Adventure', 'Indie', 'Strategy', 'RPG', 'Rogue-lite', 'Bullet Hell']",$0.00 
3,891930,Fantasy Grounds - Pathfinder RPG - NPC Codex (PFRPG),"SmiteWorks USA, LLC",,n/a,"0 .. 20,000","['Indie', 'RPG', 'Strategy']",n/a,$39.99 
4,891950,Wagers of War,Jumb-O-Fun Games Inc,Jumb-O-Fun Games Inc,n/a,"20,000 .. 50,000","['Free to Play', 'Indie', 'Strategy']","['Free to Play', 'Indie', 'Strategy', 'Card Game']",$0.00 
5,891960,WebbVR: The James Webb Space Telescope Virtual Experience,Space Telescope Science Institute,Space Telescope Science Institute,n/a,"20,000 .. 50,000","['Casual', 'Free to Play', 'Simulation']","['Free to Play', 'Simulation', 'Casual', 'VR', 'Space', 'Space Sim', 'Physics', 'Exploration']",$0.00 
6,891970,Train Defense,WildLabs,WildLabs,n/a,"0 .. 20,000","['Adventure', 'Strategy']",n/a,$0.00 
7,891990,Rusty Runner,Red twice potato,Red twice potato,n/a,"0 .. 20,000","['Adventure', 'Casual', 'Indie']","['Indie', 'Casual', 'Adventure']",$0.99 
8,892020,Robots 2 Unknown World,"Nikita ""Ghost_RUS""",Ghost_RUS Games,n/a,"0 .. 20,000","['Action', 'Adventure', 'Casual', 'Indie']","['Adventure', 'Casual', 'Action', 'Indie']",$3.99 
9,892030,"PowerDirector 17 Ultra - edit your shooting game, RPG, car game, and all videos",CyberLink,Koch Media ,n/a,"0 .. 20,000","['Audio Production', 'Design & Illustration', 'Utilities', 'Video Production', 'Web Publishing']","['Audio Production', 'Video Production', 'Utilities', 'Design & Illustration', 'Web Publishing']",$55.99 
10,892040,"PowerDirector 17 Ultimate - Video editing, Video editor, making videos",CyberLink,Koch Media ,n/a,"0 .. 20,000","['Audio Production', 'Utilities', 'Video Production']","['Utilities', 'Audio Production', 'Video Production']",$99.99 
11,892050,"PhotoDirector 10 Ultra - Photo editor, photo editing software",CyberLink,CyberLink,n/a,"0 .. 20,000","['Design & Illustration', 'Photo Editing', 'Utilities']","['Photo Editing', 'Utilities', 'Design & Illustration']",$69.99 
12,892130,The Searcher Wild West Adventure,"Nikita ""Ghost_RUS""",Ghost_RUS Games,n/a,"0 .. 20,000","['Adventure', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation']","['Adventure', 'Indie', 'Simulation', 'Massively Multiplayer', 'Casual']",$0.99 
13,892140,Wetwork Demo,Jānis Circenis,Jānis Circenis,n/a,"0 .. 20,000","['Violent', 'Action', 'Adventure', 'Indie']","['Early Access', 'Action', 'Indie', 'Gore', 'Violent', 'Adventure', 'Stealth', 'Third Person', 'First-Person', 'Crime', 'Singleplayer', 'Assassin', 'Replay Value', 'Tactical', 'Difficult']",$0.00 
14,892160,BARE BOOB BRAWLERZ: POWER CLAW,X-MiGuPLAY,"X-MiGuPLAY, LLC",n/a,"0 .. 20,000","['Casual', 'Indie']",n/a,$3.99 
15,892170,ShapeSim - Construction Set,ShapeSim,ShapeSim,n/a,"0 .. 20,000","['Free to Play', 'Simulation', 'Animation & Modeling', 'Design & Illustration', 'Game Development']","['Free to Play', 'Simulation', 'Animation & Modeling', 'Design & Illustration', 'Game Development', 'VR']",$0.00 
16,892180,Powernode,Dustyroom,Opal Games,n/a,"0 .. 20,000","['Action', 'Casual', 'Indie', 'Simulation']","['Casual', 'Indie', 'Simulation', 'Action']",$1.99 
17,892200,UFO Combat 2000,Kleberson Toro,Kleberson Toro,n/a,"0 .. 20,000","['Indie', 'Early Access']",n/a,$0.99 
18,892210,GUNGRAVE VR,"IGGYMOB Co.,Ltd",XSEED Games,n/a,"0 .. 20,000",['Action'],"['Action', 'VR', 'Anime']",$24.99 
19,892220,Bleeding Sun Demo,Jaime Paz Lopes,Jaime Paz Lopes,n/a,"0 .. 20,000",['RPG'],"['RPG', 'RPGMaker', '2D', 'Indie', 'Singleplayer', 'Turn-Based', 'Great Soundtrack', 'Story Rich', 'Turn-Based Combat', 'Party-Based RPG']",$0.00 
20,892240,RPG Maker MV - Nostalgic Music Box Vol.1,TK.Projects,Degica,n/a,"0 .. 20,000","['Design & Illustration', 'Web Publishing']",n/a,$17.99 
21,892250,Platform Builder Pro,TingThing,,n/a,"0 .. 20,000","['Adventure', 'Indie']",n/a,$7.99 
22,892260,Visual Novel Maker - Mystery Music Library Vol.1,TK.Projects,Degica,n/a,"0 .. 20,000",['Web Publishing'],['Web Publishing'],$17.99 
23,892270,Visual Novel Maker - Nostalgic Music Box Vol.1,TK Projects,Degica,n/a,"0 .. 20,000",['Web Publishing'],n/a,$17.99 
24,892280,FIGHTING EX LAYER - Color Gold/Silver: Shirase,ARIKA,ARIKA,n/a,"0 .. 20,000",['Action'],n/a,$0.00 
25,892281,FIGHTING EX LAYER - Color Gold/Silver: Kairi,ARIKA,ARIKA,n/a,"0 .. 20,000",['Action'],n/a,$0.00 
26,892282,FIGHTING EX LAYER - Color Gold/Silver: Sanane,ARIKA,ARIKA,n/a,"0 .. 20,000",['Action'],n/a,$0.00 
27,892283,FIGHTING EX LAYER - Color Gold/Silver: Garuda,ARIKA,ARIKA,n/a,"0 .. 20,000",['Action'],n/a,$0.00 
28,892284,FIGHTING EX LAYER - Color Gold/Silver: Doctrine,ARIKA,ARIKA,n/a,"0 .. 20,000",['Action'],n/a,$0.00 
